building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
3244 Patterson St NW,"3244 Patterson Street Northwest, Washington, DC","3244 Patterson St NW Available 09/01/20 Grand Center Hall Colonial near Lafayette - Rare opportunity to live within a half-block of Lafayette Recreation Center/ES, Broad Branch Market, and just a few blocks from all of the shops of upper Connecticut ",1 Unit Available,Studio,"$5,400",NA
208 5th Street SE,"208 5th Street Southeast, Washington, DC","Rare Sun-Filled 3,244 Square Foot Capitol Hill Row Home- 4 Bedroom/4.5 Bathroom W/In Law Suite, Sky Lights, Private Back Patio/yard & Viking Kitchen Appliances - Main House 3D Virtual Tour: https://my.matterport.",1 Unit Available,4 Bedrooms,"$5,700",3244 sqft
430 Irving St NW Unit 105,"430 Irving Street Northwest, Washington, DC","Cute Park View Studio - No Move-in Fee! - Located in convenient Park View, this modern and recently renovated studio features an open floor plan and tons of light from the large windows and recessed lighting.",1 Unit Available,Studio,"$1,345",405 sqft
3025 Porter St NW  #1,"3025 Porter Street Northwest, Washington, DC","Lovely Cleveland Park 1BR with parking! - Come see this great 1 bedroom, 1 bathroom is the great neighborhood of Cleveland Park!  Cleveland Park and all its amenities is a 4 minute walk--Metro Station, Target, Streets Market and Yes! Organic, best ",1 Unit Available,1 Bedroom,"$1,799",NA
"1414 Belmont St, NW Apt 208","1414 Belmont Street Northwest, Washington, DC","Spacious! Open! Bright! 1B/ 1B with Parking/ Pet Friendly - The Solea at 1414 Belmont St, NW - Fabulous condo home at The Solea that contains 695 sq ft and was built in 2009.

***Contemporary 1 bed 1 bath with with garage parking.",1 Unit Available,Studio,Ask,NA
"1414 Belmont St, NW Apt 208","1414 Belmont Street Northwest, Washington, DC","Spacious! Open! Bright! 1B/ 1B with Parking/ Pet Friendly - The Solea at 1414 Belmont St, NW - Fabulous condo home at The Solea that contains 695 sq ft and was built in 2009.

***Contemporary 1 bed 1 bath with with garage parking.",1 Unit Available,1 Bedroom,"$2,190",655 sqft
"1414 Belmont St, NW Apt 208","1414 Belmont Street Northwest, Washington, DC","Spacious! Open! Bright! 1B/ 1B with Parking/ Pet Friendly - The Solea at 1414 Belmont St, NW - Fabulous condo home at The Solea that contains 695 sq ft and was built in 2009.

***Contemporary 1 bed 1 bath with with garage parking.",1 Unit Available,2 Bedrooms,Ask,NA
4100 W St NW #209,"4100 W Street Northwest, Washington, DC",Glover Park Oasis - This is what you've been waiting for! Step right into this amazing 2 bedroom unit with ample storage and the welcome peace of Glover Archibald Park as your neighbor.,1 Unit Available,1 Bedroom,Ask,NA
4100 W St NW #209,"4100 W Street Northwest, Washington, DC",Glover Park Oasis - This is what you've been waiting for! Step right into this amazing 2 bedroom unit with ample storage and the welcome peace of Glover Archibald Park as your neighbor.,1 Unit Available,2 Bedrooms,"$2,600",968 sqft
405 Florida Ave NW,"405 Florida Avenue Northwest, Washington, DC","ATTENTION ROOMMATES!!
2 bedroom 2 and half bath townhome located in the Ledroit Park neighborhood of DC! The home is within walking distance of the Shaw/Howard University metro station as well as plenty of restaurants, shops, bars and so much more!! ",1 Unit Available,2 Bedrooms,"$3,000",1623 sqft
3446 Connecticut Ave NW 409,"3446 Connecticut Avenue Northwest, Washington, DC","Furnished or not 2BR/1BA at CPmetro  BestLocation - Property Id: 161850

Best Location & Schools!
Metro across the street.
Furnished if desired quiet 2br/1ba in the heart of Cleveland Park, minutes away from downtown.",1 Unit Available,Studio,Ask,NA
3446 Connecticut Ave NW 409,"3446 Connecticut Avenue Northwest, Washington, DC","Furnished or not 2BR/1BA at CPmetro  BestLocation - Property Id: 161850

Best Location & Schools!
Metro across the street.
Furnished if desired quiet 2br/1ba in the heart of Cleveland Park, minutes away from downtown.",1 Unit Available,2 Bedrooms,"$2,799",816 sqft
318 10th Street NE,"318 10th Street Northeast, Washington, DC","2/2.5 townhouse in capitol hill/eastern market  DC - Property Id: 321406

This townhouse is featured with original woodwork, 9-foot ceilings, and electric fireplace in the parlor room.

On its second floor, it has two suites.",1 Unit Available,2 Bedrooms,"$4,500",1600 sqft
2401 Calvert St NW 714,"2401 Calvert Street Northwest, Washington, DC",1 MONTH FREE! 2 Bedroom/2 Baths w/Utilities Incl.,1 Unit Available,Studio,Ask,NA
2401 Calvert St NW 714,"2401 Calvert Street Northwest, Washington, DC",1 MONTH FREE! 2 Bedroom/2 Baths w/Utilities Incl.,1 Unit Available,1 Bedroom,Ask,NA
2401 Calvert St NW 714,"2401 Calvert Street Northwest, Washington, DC",1 MONTH FREE! 2 Bedroom/2 Baths w/Utilities Incl.,1 Unit Available,2 Bedrooms,"$2,799",1084 sqft
3330 Alden Place NE,"3330 Alden Place Northeast, Washington, DC","House Rental - NE DC - Property Id: 299312

This is a FURNISHED 2 bedroom, one bathroom, DC row home in River Terrace with a basement.",1 Unit Available,2 Bedrooms,"$1,775",1250 sqft
21 Randle Cir SE,"21 Randle Circle Southeast, Washington, DC","A Quaint Urban Bungalow Minutes from Capitol Hill - Property Id: 226554

A Quaint Urban Bungalow with : * Large Fenced in Yard and a Garden Area *New Patio for Private Barbecues.",1 Unit Available,2 Bedrooms,"$2,280",1100 sqft
2428 20th Street NW,"2428 20th Street Northwest, Washington, DC","2 Bedroom Apartment with Patio - Property Id: 282673

Bright and Spacious 2 Bedroom street level apartment with private entrance in Townhouse.",1 Unit Available,2 Bedrooms,"$2,900",800 sqft
614 11th St NE,"614 11th Street Northeast, Washington, DC","Stunning 4BR, 4 Bath Home Available For Rent  - Private Yard with Deck provide plenty of outdoor space. ~ 3000Sf of immaculate interior space including a full Basement apartment, great for any long or short term guests.",1 Unit Available,4 Bedrooms,"$5,750",2850 sqft
4002 New Hampshire Avenue Northwest,"4002 New Hampshire Avenue Northwest, Washington, DC","Available 09/01/20 Spacious, unfurnished townhouse available in a great location in the Petworth neighborhood.  4 bedrooms, 2.",1 Unit Available,4 Bedrooms,"$3,550",NA
715 Hamlin St NE #2,"715 Hamlin Street Northeast, Washington, DC",715 HAMLIN ST NE #2 - Step into this bright and spacious two bed/one bath first floor apartment in the vibrant neighborhood of Brookland. Hardwood floors are in the living room and bedrooms.,1 Unit Available,2 Bedrooms,"$1,800",800 sqft
"1417 Chapin St, NW Apt 501","1417 Chapin Street Northwest, Washington, DC","Free for August! Spacious 2 Bed 1 Bath at the Denver with a Roof Top Deck - This beautiful 2 bedroom, 1 bathroom top floor apartment for rent with soaring ceilings, and windows that stretch the length of the living room, hardwood floors in the ",1 Unit Available,2 Bedrooms,"$2,795",978 sqft
2531 I St NW,"2531 I Street Northwest, Washington, DC",Spectacular Modern 3BR Foggy-Bottom Townhome in excellent condition! - Live large in this beautiful 2300 sq ft contemporary townhouse in Foggy Bottom! This home has everything you need! 4 finishes levels with a spacious garage.,1 Unit Available,3 Bedrooms,"$6,250",1728 sqft
1839 A St SE,"1839 A Street Southeast, Washington, DC","Charming, Newly Updated 4br/2.5ba in Stadium Armory!  - Newly updated, spacious and bright 4br/2.",1 Unit Available,4 Bedrooms,"$3,750",1957 sqft
3614 12th St NE Apt 2,"3614 12th Street Northeast, Washington, DC","1 bedroom, 1 bath Apt - NEW to market  - Cute ground-floor level, one bedroom in Brookland.

The apartment is only a year old, one prior occupant. Stainless steel appliances, including a gas stove, and in-unit laundry.",1 Unit Available,1 Bedroom,"$1,795",NA
3100 Connecticut Ave NW  #228,"3100 Connecticut Avenue Northwest, Washington, DC","Meticulously Maintained 1BR + Den in Cathedral Park! - Meticulously Maintained 1BR + Den in Cathedral Park! Light Filled & Bright spacious unit*Features gleaming hardwood floors, custom paint & blinds throughout*Open living room leads to separate ",1 Unit Available,Studio,Ask,NA
3100 Connecticut Ave NW  #228,"3100 Connecticut Avenue Northwest, Washington, DC","Meticulously Maintained 1BR + Den in Cathedral Park! - Meticulously Maintained 1BR + Den in Cathedral Park! Light Filled & Bright spacious unit*Features gleaming hardwood floors, custom paint & blinds throughout*Open living room leads to separate ",1 Unit Available,1 Bedroom,"$2,695",901 sqft
"3616 Connecticut Ave., NW #307","3616 Connecticut Avenue Northwest, Washington, DC","NEW PRICE: The perfect 1 bdrm,1 ba condo in Cleveland Park  - NEW PRICE, ready to go. The perfect 1 bdrm,1 ba condo perfectly nestled in the heart of Cleveland Park.",1 Unit Available,1 Bedroom,"$1,900",625 sqft
"3616 Connecticut Ave., NW #307","3616 Connecticut Avenue Northwest, Washington, DC","NEW PRICE: The perfect 1 bdrm,1 ba condo in Cleveland Park  - NEW PRICE, ready to go. The perfect 1 bdrm,1 ba condo perfectly nestled in the heart of Cleveland Park.",1 Unit Available,2 Bedrooms,Ask,NA
1717 P St NW Unit C,"1717 P Street Northwest, Washington, DC","Stunning 2-Level Dupont Penthouse! - City living does not get more custom and luxurious than this! This 2 bedroom, 2 bathroom condo off of Dupont Circle is located in a huge converted rowhome that has been fully updated to include modern design ",1 Unit Available,2 Bedrooms,"$4,500",1400 sqft
1717 P St NW Unit C,"1717 P Street Northwest, Washington, DC","Stunning 2-Level Dupont Penthouse! - City living does not get more custom and luxurious than this! This 2 bedroom, 2 bathroom condo off of Dupont Circle is located in a huge converted rowhome that has been fully updated to include modern design ",1 Unit Available,3 Bedrooms,Ask,NA
1018 Florida Ave #101,"1018 Florida Avenue Northeast, Washington, DC","Stunning 2BR, 2BA condo modern remodel & design steps to H Corridor! - WOW*This one is stunning! Designer Style with Modern & Tasteful upgrades throughout this 2 level 2BR, 2BA Condo! What an AWESOME location, steps to the H Street corridor & Union ",1 Unit Available,2 Bedrooms,"$2,650",1017 sqft
1425 4th St SW // Close Out 7/27/2020 #409,"1425 4th Street Southwest, Washington, DC",Bright and Spacious 1 BR w/Parking & Pool!!! - Renters Warehouse proudly presents this bright and spacious 1 Bedroom apartment ready for you to make it your new home!  Located in the Riverside condominium on the SW DC waterfront! Big open ,1 Unit Available,Studio,Ask,NA
1425 4th St SW // Close Out 7/27/2020 #409,"1425 4th Street Southwest, Washington, DC",Bright and Spacious 1 BR w/Parking & Pool!!! - Renters Warehouse proudly presents this bright and spacious 1 Bedroom apartment ready for you to make it your new home!  Located in the Riverside condominium on the SW DC waterfront! Big open ,1 Unit Available,1 Bedroom,"$2,100",728 sqft
1108 Fairmont St NW,"1108 Fairmont Street Northwest, Washington, DC","Luxury in Columbia Heights! - Gourmet kitchen with granite countertops, stainless appliances and custom cabinets. Relax on the private walk-out terrace. Gorgeous attention to detail throughout. Finished lower level with second kitchen and full bath.",1 Unit Available,3 Bedrooms,"$4,000",1925 sqft
50 Florida Ave NE Unit 613,"50 Florida Avenue Northeast, Washington, DC","Chic One Bedroom Short Walk to Union Market & NoMa-Gallaudet Metro Station! $300 Off First Month's Rent!  - Be the first to live in this beautiful, brand new, 1 bedroom, 1 bathroom condo in the luxurious Lexicon building.",1 Unit Available,1 Bedroom,"$1,825",667 sqft
3839 Rodman St NW Unit 36F,"3839 Rodman Street Northwest, Washington, DC",Lofted One-Bedroom in McLean Gardens! $200 Off First Month's Rent! - This gorgeous two-story loft condo is located right in the heart of Cathedral Heights in the historic McLean Gardens community.,1 Unit Available,1 Bedroom,"$1,695",600 sqft
"2111 Wisconsin Avenue, NW #215","2111 Wisconsin Avenue Northwest, Washington, DC",Georgetown/Glover Park Large Studio with Reserved Garage Space - Spacious and Bright Studio in the Observatory of Georgetown. Apt.,1 Unit Available,Studio,"$1,850",475 sqft
"2111 Wisconsin Avenue, NW #215","2111 Wisconsin Avenue Northwest, Washington, DC",Georgetown/Glover Park Large Studio with Reserved Garage Space - Spacious and Bright Studio in the Observatory of Georgetown. Apt.,1 Unit Available,1 Bedroom,Ask,NA
"2111 Wisconsin Avenue, NW #215","2111 Wisconsin Avenue Northwest, Washington, DC",Georgetown/Glover Park Large Studio with Reserved Garage Space - Spacious and Bright Studio in the Observatory of Georgetown. Apt.,1 Unit Available,2 Bedrooms,Ask,NA
"3960 Langley Ct NW #E623, Washington, DC 20016","3960 Langley Court Northwest, Washington, DC","3960 Langley Ct NW #E623, Washington, DC 20016  - This Bright freshly painted Loft unit features an IN UNIT WASHER/DRYER, updated Kitchen and bath. Spacious Loft/2nd bedroom features tons of storage and Sky-light.",1 Unit Available,1 Bedroom,"$2,450",NA
"3960 Langley Ct NW #E623, Washington, DC 20016","3960 Langley Court Northwest, Washington, DC","3960 Langley Ct NW #E623, Washington, DC 20016  - This Bright freshly painted Loft unit features an IN UNIT WASHER/DRYER, updated Kitchen and bath. Spacious Loft/2nd bedroom features tons of storage and Sky-light.",1 Unit Available,2 Bedrooms,Ask,NA
"1212 Delafield Pl, NW","1212 Delafield Place Northwest, Washington, DC","Very Spacious and Bright 5 Bedroom 2 Bathroom - Fenced yard - Petworth! - Video Tour: https://youtu.be/wP_-_e4OlTQ

***The house is on a quiet, tree-lined street. Inside it is bright, sunny and open with large windows that let in lots of light.",1 Unit Available,5 Bedrooms,"$3,650",2184 sqft
1930 New Hampshire Ave NW #44,"1930 New Hampshire Avenue Northwest, Washington, DC","Bright 2BD/2BA Apartment for rent - Bright 2BD/2BA Apartment Steps from U Street Available June 15th! - Come view this 2BD/2BA with hardwood floors, and central A/C, kitchen features stainless steel appliances, and granite countertops.",1 Unit Available,1 Bedroom,Ask,NA
1930 New Hampshire Ave NW #44,"1930 New Hampshire Avenue Northwest, Washington, DC","Bright 2BD/2BA Apartment for rent - Bright 2BD/2BA Apartment Steps from U Street Available June 15th! - Come view this 2BD/2BA with hardwood floors, and central A/C, kitchen features stainless steel appliances, and granite countertops.",1 Unit Available,2 Bedrooms,"$3,000",973 sqft
549 45th Street Northeast,"549 45th Street Northeast, Washington, DC",One Large bedroom apartment available in beautiful and sunny Deanwood. The completely independent English basement will be available at the beginning of July.,1 Unit Available,1 Bedroom,"$1,300",700 sqft
1671 Fort DuPont Street SE,"1671 Fort Dupont Street Southeast, Washington, DC",3Bd/1.5Bth Semi-Detached Home in Ft Dupont!!! - Renters Warehouse presents to you this 1350sqft town home with 3 bedrooms 1.5 baths in the Fort Dupont Park area.,1 Unit Available,3 Bedrooms,"$2,100",1350 sqft
777 7th Street Northwest,"777 7th Street Northwest, Washington, DC","Tenant occupied, wants to move ASAP. Please text/call Jon Tobery at 240-367-6366 for showings. Video Tour available upon request. Fantastic condo located in The Residences at Gallery Place, this 1 Bedroom/1 Bath unit overlooks bustling 7th st.",1 Unit Available,Studio,Ask,NA
777 7th Street Northwest,"777 7th Street Northwest, Washington, DC","Tenant occupied, wants to move ASAP. Please text/call Jon Tobery at 240-367-6366 for showings. Video Tour available upon request. Fantastic condo located in The Residences at Gallery Place, this 1 Bedroom/1 Bath unit overlooks bustling 7th st.",1 Unit Available,1 Bedroom,"$2,200",603 sqft
777 7th Street Northwest,"777 7th Street Northwest, Washington, DC","Tenant occupied, wants to move ASAP. Please text/call Jon Tobery at 240-367-6366 for showings. Video Tour available upon request. Fantastic condo located in The Residences at Gallery Place, this 1 Bedroom/1 Bath unit overlooks bustling 7th st.",1 Unit Available,2 Bedrooms,Ask,NA
3102 Banneker Dr NE,"3102 Banneker Drive Northeast, Washington, DC","Classy Condo in NE - Classy, light filled space with loft, skylight, gorgeous renovated kitchen and great vibe!  Truly a cook's dream kitchen with dishwasher, microwave, oven, stove, and tons of counter space!.",1 Unit Available,2 Bedrooms,"$2,595",NA
"23 Q Street, NE","23 Q Street Northeast, Washington, DC",Extraordinary Eckington 3Br/2.5Bath Renovated Townhome with Parking - Welcome yourself home to this extraordinary 3 Bedroom & 2 1/2 Bath Eckington Townhome. This exquisitely updated home has an open floor plan.,1 Unit Available,3 Bedrooms,"$4,100",NA
2206 1st Street Northwest,"2206 1st Street Northwest, Washington, DC","Spacious 3 Bedroom + 1 Bathroom in the heart of Bloomingdale. Remodeled Kitchen, new Stainless-Steel Appliances: Refrigerator, Stove, Over the Range Microwave, and Dishwasher. Other upgrades and freshly painted throughout.",1 Unit Available,3 Bedrooms,"$3,100",1100 sqft
1727 Massachusetts Ave NW Unit 309,"1727 Massachusetts Avenue Northwest, Washington, DC","Beaming Studio with Rooftop! $200 Off First Month's Rent!  - City living at its best! Conveniently located between Logan Circle and Dupont Circle, this large and remodeled studio at The Winthrop House could be your next nest.",1 Unit Available,Studio,"$1,650",407 sqft
1727 Massachusetts Ave NW Unit 309,"1727 Massachusetts Avenue Northwest, Washington, DC","Beaming Studio with Rooftop! $200 Off First Month's Rent!  - City living at its best! Conveniently located between Logan Circle and Dupont Circle, this large and remodeled studio at The Winthrop House could be your next nest.",1 Unit Available,1 Bedroom,Ask,NA
"2500 Q Street, NW #334","2500 Q Street Northwest, Washington, DC",Great 2 bedroom/2 bath Georgetown/Dupont with Parking - Enjoy all the conveniences of Georgetown when living in this spacious 1140 sq ft apartment INCLUDING 1 GARAGE SPACE.,1 Unit Available,Studio,Ask,NA
"2500 Q Street, NW #334","2500 Q Street Northwest, Washington, DC",Great 2 bedroom/2 bath Georgetown/Dupont with Parking - Enjoy all the conveniences of Georgetown when living in this spacious 1140 sq ft apartment INCLUDING 1 GARAGE SPACE.,1 Unit Available,1 Bedroom,Ask,NA
"2500 Q Street, NW #334","2500 Q Street Northwest, Washington, DC",Great 2 bedroom/2 bath Georgetown/Dupont with Parking - Enjoy all the conveniences of Georgetown when living in this spacious 1140 sq ft apartment INCLUDING 1 GARAGE SPACE.,1 Unit Available,2 Bedrooms,"$3,000",1140 sqft
5551 Illinois Avenue Northwest,"5551 Illinois Avenue Northwest, Washington, DC","PETWORTH- 5551 Illinois Ave NW #103 Washington DC 20011. Price: $2550/month for 6 month lease. $2350 for 12 months (Discount may be offered for longer term lease).
UTILITIES: Water included. Tenant pays electric and cable/internet.",1 Unit Available,2 Bedrooms,"$2,350",720 sqft
317 10th St NE Unit 11,"317 10th Street Northeast, Washington, DC","Fully Furnished 1 Bedroom, 1 Bath Apartment - One Bedroom apartment in the Capital Hill close to Eastern Market and Union Station.

Metro: Blue/Red/Orange/ Silver within walking distance. Bus stops are just one block away (D6 and 92/90).",1 Unit Available,1 Bedroom,"$2,395",795 sqft
"1318 35th Street, NW #9","1318 35th Street Northwest, Washington, DC","$1850 / 1BR/1BA - approx 500ft - Georgetown Charm with a Balcony! (1318 35th Street NW #9/Georgetown) - Location, location, location! This charming and cozy top (second) floor one bedroom one bath apartment is located in a small condominium building ",1 Unit Available,1 Bedroom,"$1,850",500 sqft
1303 Clifton St NW,"1303 Clifton Street Northwest, Washington, DC","Walk to U Street! Can't beat the location. 3 bedroom apartment in the heart of the city. 2 and a half baths, with 3 showers, so need to share! Kitchen has granite counters and stainless appliances, so there is plenty of space to share.",1 Unit Available,3 Bedrooms,"$3,900",1900 sqft
1303 Clifton St NW,"1303 Clifton Street Northwest, Washington, DC","Walk to U Street! Can't beat the location. 3 bedroom apartment in the heart of the city. 2 and a half baths, with 3 showers, so need to share! Kitchen has granite counters and stainless appliances, so there is plenty of space to share.",1 Unit Available,5 Bedrooms,Ask,NA
"1442 Corcoran St, NW Apt 3","1442 Corcoran Street Northwest, Washington, DC","1442 Corcoran St, NW Apt 3 Available 09/01/20 Stunning and Stylish!  One Bedroom One Bathroom Near Logan Circle! - This 1 bedroom 1 bathroom is bright and spacious.  Features high end finishes, a fireplace, recessed lighting, and exposed brick.",1 Unit Available,1 Bedroom,"$2,850",NA
"607 Browns Court, SE","607 Browns Court Southeast, Washington, DC","607 Browns Court, SE Available 09/12/20 Capitol Hill Mid-Century Modern Townhouse 2 Bed/1 Bath in Eastern Market with Fireplace! - Check out this Great Mid-Century Modern Multi-level Townhouse with 2BR 1BA just steps from Eastern Market Metro and ",1 Unit Available,2 Bedrooms,"$2,450",900 sqft
2920 Georgia Ave NW 301,"2920 Georgia Avenue Northwest, Washington, DC",2920 Georgia Ave NW 301 Available 11/01/20 Park View Passion with Parking - This great one bedroom is available now for some equally great tenants. It's on the 3rd floor and  has the hip urban tranquility you've been looking for.,1 Unit Available,1 Bedroom,"$2,100",721 sqft
2920 Georgia Ave NW 301,"2920 Georgia Avenue Northwest, Washington, DC",2920 Georgia Ave NW 301 Available 11/01/20 Park View Passion with Parking - This great one bedroom is available now for some equally great tenants. It's on the 3rd floor and  has the hip urban tranquility you've been looking for.,1 Unit Available,2 Bedrooms,Ask,NA
712 Marietta Place NW Unit 303,"712 Marietta Place Northwest, Washington, DC","Luxury One Bedroom One Bathroom in Petworth! - Boutique luxury apartment with beautiful & bright 1 bedroom  features open floor plan, oak floors, cherry cabinets, fireplace and a fabulous walk in closet! Clean and neutral wall color palette ",1 Unit Available,1 Bedroom,"$1,500",NA
1465 Harvard St NW #402,"1465 Harvard Street Northwest, Washington, DC",1465 Harvard St NW #402 Available 10/01/20 Brand New & Absolutely Luxe - This brand new and absolutely luxurious apartment is just waiting for you to call it home.,1 Unit Available,1 Bedroom,"$2,275",674 sqft
"1879 Channing St, NE","1879 Channing Street Northeast, Washington, DC","NEWLY RENOVATED 3 BED 3.5 BATHROOM - PETS WELCOME! - This 3 bedroom 3.5 bathroom has 4 levels of newly renovated living space.  The house is a corner lot, with a deck and small fenced yard.",1 Unit Available,3 Bedrooms,"$3,200",1632 sqft
3609 38th St NW #403,"3609 38th Street Northwest, Washington, DC",3609 38th St NW #403 Available 10/01/20 Efficient? Yes.,1 Unit Available,Studio,"$1,650",425 sqft
3609 38th St NW #403,"3609 38th Street Northwest, Washington, DC",3609 38th St NW #403 Available 10/01/20 Efficient? Yes.,1 Unit Available,1 Bedroom,Ask,NA
3609 38th St NW #403,"3609 38th Street Northwest, Washington, DC",3609 38th St NW #403 Available 10/01/20 Efficient? Yes.,1 Unit Available,2 Bedrooms,Ask,NA
509 M St NE Unit 4,"509 M Street Northeast, Washington, DC","509 M St NE Unit 4 Available 08/29/20 Amazing 2000 sqft Condo in Great Location w/ Off-Street Parking!  - This gorgeous condo is spacious with 2000 sqft spread over 2-levels and provides plenty of room to live, work and play! Enter into this lovely ",1 Unit Available,2 Bedrooms,"$3,395",2000 sqft
1300 Kenyon St. NW Apt 1,"1300 Kenyon Street Northwest, Washington, DC","Spacious (1119 sq ft) 2 beds + den, 2 baths condo all one block away from Columbia Heights Metro - Spacious (1119 sq ft) 2 beds + den, 2 baths condo all one block away from Columbia Heights Metro and Shops!

Gourmet kitchen with custom cabinetry, ",1 Unit Available,2 Bedrooms,"$3,250",1119 sqft
1715 15th St NW #27,"1715 15th Street Northwest, Washington, DC","1715 15th St NW #27 Available 09/01/20 1 bedroom + Den with 1 and a half baths at Bishop's Gate! - Rare opportunity to rent at Bishop's Gate, a tranquil sanctuary in the middle of DC's hottest neighborhood.",1 Unit Available,1 Bedroom,"$2,999",1002 sqft
1715 15th St NW #27,"1715 15th Street Northwest, Washington, DC","1715 15th St NW #27 Available 09/01/20 1 bedroom + Den with 1 and a half baths at Bishop's Gate! - Rare opportunity to rent at Bishop's Gate, a tranquil sanctuary in the middle of DC's hottest neighborhood.",1 Unit Available,2 Bedrooms,Ask,NA
4301 Massachusetts Ave NW. 6012,"4301 Massachusetts Avenue Northwest, Washington, DC","Spacious Greenbriar 2 Bd 2 Bath Condo Available!  - This spacious 2 bedroom, 2 full bath is located in Cleveland Park. Close to restaurants, and night life in DC!! This unit is apart of the Greenbriar Condominiums of Mass Ave.",1 Unit Available,Studio,Ask,NA
4301 Massachusetts Ave NW. 6012,"4301 Massachusetts Avenue Northwest, Washington, DC","Spacious Greenbriar 2 Bd 2 Bath Condo Available!  - This spacious 2 bedroom, 2 full bath is located in Cleveland Park. Close to restaurants, and night life in DC!! This unit is apart of the Greenbriar Condominiums of Mass Ave.",1 Unit Available,1 Bedroom,Ask,NA
4301 Massachusetts Ave NW. 6012,"4301 Massachusetts Avenue Northwest, Washington, DC","Spacious Greenbriar 2 Bd 2 Bath Condo Available!  - This spacious 2 bedroom, 2 full bath is located in Cleveland Park. Close to restaurants, and night life in DC!! This unit is apart of the Greenbriar Condominiums of Mass Ave.",1 Unit Available,2 Bedrooms,"$2,900",1200 sqft
2108 10th St NW Apt 1,"2108 10th Street Northwest, Washington, DC",2 Bedrooms and 2 Full Bathrooms with private secure parking spot just steps from U Street and Shaw.,1 Unit Available,2 Bedrooms,"$3,000",825 sqft
"1830 11th Street, NW #4","1830 11th St NW, Washington, DC","Modern Logan Circle Sun Filled 1 Bedroom 1.5 bath with Den  - Welcome to Logan Heights! A beautiful 1 bed 1.5 baths with den; filled with natural light. 820square feet.

Located at the nexus of the U ST and Logan neighborhoods.",1 Unit Available,1 Bedroom,"$2,800",820 sqft
915 12th St NE Apt 1,"915 12th Street Northeast, Washington, DC","2 Bedroom / 2 Full Bath condominium (approximately 1,200 Sq Ft) - with private, covid-free entrance!

Modern elegance in boutique condo (built in 2015) on booming H Street Corridor.",1 Unit Available,2 Bedrooms,"$3,100",1200 sqft
5405 5th St NW,"5405 5th Street Northwest, Washington, DC","5405 5th St NW Available 09/08/20 Modern Petworth Rowhome Perfect for Commuters! Off-street parking! - The first floor of this classic DC row house features an open plan with front living room passing back to large central kitchen, conveniently ",1 Unit Available,2 Bedrooms,"$2,700",1600 sqft
"4453 Greenwich Parkway, NW","4453 Greenwich Parkway Northwest, Washington, DC","4453 Greenwich Parkway, NW Available 08/29/20 $5200 / 6BR / 2 1/2 BA  - Foxhall Village  Close to Georgetown University and Hospital  - Spacious 6 bedroom 2 1/2 bath townhouse in Foxhall Village, a very desirable neighborhood bordering Georgetown ",1 Unit Available,6 Bedrooms,"$5,200",100 sqft
3601 Wisconsin Ave. NW #611,"3601 Wisconsin Avenue Northwest, Washington, DC","3601 Wisconsin Ave. NW #611 Available 08/30/20 Beautifully Refreshed 1BR/1BA in Cleveland Park! - Welcome home to your light filled, refreshed 1BR/1BA condo near everywhere you want to be.",1 Unit Available,1 Bedroom,"$1,650",691 sqft
5253 43rd St. NW,"5253 43rd Street Northwest, Washington, DC",Corner Home BY METRO w UPDATED KITCHEN! 4 Bedroom House 1 block from Wisconsin Ave.   - Come view this lovely home with renovated kitchen in the heart of Friendship Heights.,1 Unit Available,4 Bedrooms,"$3,600",1674 sqft
1726 U St. NW  Apt. #2,"1726 U Street Northwest, Washington, DC","LARGE 2 Bed 2 Bath Condo on the Second Level of a 3-unit Row House just off U St. NW - Enter apartment into spacious living room (20x13) with wood-burning fireplace, recessed lighting, hardwood floors and picture window that overlooks U St.",1 Unit Available,2 Bedrooms,"$3,050",935 sqft
5410 Connecticut Ave NW Unit 215,"5410 Connecticut Avenue Northwest, Washington, DC","5410 Connecticut Ave NW Unit 215 Available 10/06/20 Charming Chevy Chase Perch! All Utilities Included!  - With tons of large windows throughout, this Chevy Chase condo offers tree top views and top-notch convenience! The unit features parquet ",1 Unit Available,1 Bedroom,"$1,725",784 sqft
5410 Connecticut Ave NW Unit 215,"5410 Connecticut Avenue Northwest, Washington, DC","5410 Connecticut Ave NW Unit 215 Available 10/06/20 Charming Chevy Chase Perch! All Utilities Included!  - With tons of large windows throughout, this Chevy Chase condo offers tree top views and top-notch convenience! The unit features parquet ",1 Unit Available,2 Bedrooms,Ask,NA
1916 17th St NW Unit 310,"1916 17th Street Northwest, Washington, DC","1916 17th St NW Unit 310 Available 09/05/20 Charming & Spacious in PERFECT location! - Welcome to your next Nest! Situated perfectly between Dupont and U Street, the location of this spacious one-bedroom is ideal! The shining hardwood flooring ",1 Unit Available,Studio,Ask,NA
1916 17th St NW Unit 310,"1916 17th Street Northwest, Washington, DC","1916 17th St NW Unit 310 Available 09/05/20 Charming & Spacious in PERFECT location! - Welcome to your next Nest! Situated perfectly between Dupont and U Street, the location of this spacious one-bedroom is ideal! The shining hardwood flooring ",1 Unit Available,1 Bedroom,"$2,295",700 sqft
